Fid,Gender,Age,Digital_Material,Author,Latitude,Longitude,Used_Device,Education_Level,Label
10.42.0.151-106.39.169.66-52382-80-6,Female,21,Great Expectations,Charles Dickens,18.12828469,-67.02054039,Mobile,University,0
180.149.134.141-10.42.0.211-80-40608-6,Female,17,"The Hobbit, or, There and Back Again",J.R.R. Tolkien,34.12041151,-109.2878747,Mobile,School,0
10.42.0.151-10.42.0.1-40056-53-17,Male,19,"Frankenstein, or, the Modern Prometheus",Mary Shelley,38.6797675,-87.53100368,Mobile,College,0
10.42.0.211-104.192.110.245-59749-80-6,Male,19,Oliver Twist,Charles Dickens,43.23663218,-94.75527927,Mobile,College,0
10.42.0.211-104.192.110.245-38733-443-6,Female,17,Uncle Tom's Cabin,Harriet Beecher Stowe,42.69948741,-84.49973649,Mobile,School,0
10.42.0.211-10.42.0.1-63229-53-17,Male,17,Crime and Punishment,Fyodor Dostoyevsky,30.20102935,-81.57148192,Mobile,School,1
172.217.10.238-10.42.0.42-443-55300-6,Male,17,Madame Bovary: Patterns of Provincial life,Gustave Flaubert,48.70418523,-112.5918521,Mobile,School,1
10.42.0.211-10.42.0.1-7098-53-17,Male,17,The Return of the King,J.R.R. Tolkien,33.54436632,-86.6645828,Mobile,School,0
203.205.151.47-10.42.0.211-80-54828-6,Male,17,Dracula,Bram Stoker,55.48226813,-132.6501074,Computer,School,0
172.217.10.65-10.42.0.211-443-47011-6,Male,21,The Three Musketeers,Alexandre Dumas,42.33613394,-100.5342611,Mobile,University,0
10.42.0.211-104.193.88.109-33990-80-6,Male,17,Brave New World,Aldous Huxley,32.20625976,-111.0108862,Mobile,School,1
10.42.0.211-64.71.142.124-35792-443-6,Female,21,War and Peace,Leo Tolstoy,29.67027469,-94.99590341,Mobile,University,1
10.42.0.211-31.13.80.5-40597-443-6,Female,21,To Kill a Mockingbird,Harper Lee,32.63983977,-96.861666,Computer,University,1
180.149.136.194-10.42.0.211-80-43789-6,Male,19,The Wizard of Oz,L. Frank Baum,30.35692586,-95.08379599,Computer,College,1
203.205.179.170-10.42.0.151-80-48208-6,Male,19,The Secret Garden,Frances Hodgson Burnett,43.84165485,-110.5074705,Mobile,College,1
172.217.12.132-10.42.0.211-443-56866-6,Male,17,Animal Farm,George Orwell,34.5799288,-112.3489123,Mobile,School,0
10.42.0.211-10.42.0.1-1238-53-17,Male,17,The Great Gatsby,F. Scott Fitzgerald,32.14545691,-110.9898664,Computer,School,1
10.42.0.42-123.125.115.164-39501-443-6,Female,21,The Little Prince,Antoine de Saint-Exup‚ry,34.14272258,-114.2884525,Mobile,University,0
175.100.207.232-10.42.0.151-80-40406-6,Female,21,The Call of the Wild,Jack London,33.46760273,-112.0204516,Mobile,University,0
10.42.0.42-23.192.76.180-42213-80-6,Male,21,"20,000 Leagues Under the Sea",Jules Verne,33.04720038,-112.0147246,Mobile,University,0
10.42.0.211-77.234.41.79-43584-443-6,Female,19,Anna Karenina,Leo Tolstoy,44.99964615,-93.45061654,Mobile,College,1
157.240.2.20-10.42.0.42-443-33417-6,Male,17,The Wind in the Willows,Kenneth Grahame,44.99979893,-93.45059355,Mobile,School,0
172.217.6.238-10.42.0.42-443-57705-6,Female,17,The Picture of Dorian Gray,Oscar Wilde,43.76615273,-94.16312486,Mobile,School,1
10.42.0.211-119.6.229.36-42616-80-6,Female,21,The Grapes of Wrath,John Steinbeck,45.80384613,-94.56994811,Mobile,University,0
10.42.0.211-23.205.27.180-59858-443-6,Male,17,Sense and Sensibility,Jane Austen,32.82826876,-109.7233227,Mobile,School,1
202.77.129.54-10.42.0.211-80-54561-6,Female,21,The Last of the Mohicans,James Fenimore Cooper,33.52656319,-111.9055913,Mobile,University,0
173.194.68.188-10.42.0.151-5228-57143-6,Male,17,Tess of the d'Urbervilles,Thomas Hardy,44.85475304,-93.26446131,Mobile,School,1
172.217.11.46-10.42.0.211-443-32854-6,Female,21,Harry Potter and the Sorcerer's Stone,J.K. Rowling,32.89487505,-111.7279075,Mobile,University,1
10.42.0.211-10.42.0.1-35206-53-17,Male,17,Heidi,Johanna Spyri,39.1450149,-121.5946443,Mobile,School,0
10.42.0.42-99.46.84.58-46360-46021-17,Male,21,Ulysses,James Joyce,25.55566001,-80.37147373,Mobile,University,1
202.77.129.150-10.42.0.211-80-49447-6,Female,19,The Complete Sherlock Holmes,Arthur Conan Doyle,41.32960049,-89.13495664,Mobile,College,0
172.217.3.98-10.42.0.211-443-33086-6,Male,21,The Count of Monte Cristo,Alexandre Dumas,41.26231277,-114.1967959,Mobile,University,0
10.42.0.151-10.42.0.1-37133-53-17,Male,17,The Old Man and the Sea,Ernest Hemingway,41.3042755,-116.1145546,Mobile,School,1
10.42.0.151-10.42.0.1-25156-53-17,Male,17,"The Lion, the Witch, and the Wardrobe",C.S. Lewis,33.12753177,-117.0899555,Mobile,School,1
172.217.3.97-10.42.0.211-443-34856-6,Male,21,The Hunchback of Notre Dame,Victor Hugo,39.24856445,-121.0167329,Mobile,University,0
198.11.136.24-10.42.0.211-443-52591-6,Female,17,Pinocchio,Carlo Collodi,32.75354203,-97.10165418,Mobile,School,1
172.217.12.206-10.42.0.151-443-60248-6,Female,19,One Hundred Years of Solitude,Gabriel Garc¡a M rquez,32.75315802,-97.10112833,Mobile,College,0
220.170.182.31-10.42.0.211-443-37058-6,Female,17,Ivanhoe,Walter Scott,40.69627271,-74.09404017,Mobile,School,1
172.217.8.8-10.42.0.151-443-48212-6,Male,19,The Red Badge of Courage,Stephen Crane,32.79172012,-96.86598397,Mobile,College,0
10.42.0.211-10.42.0.1-53635-53-17,Male,21,Anne of Green Gables,L.M. Montgomery,32.79146374,-96.86604745,Mobile,University,1
199.16.156.107-10.42.0.151-443-52951-6,Female,17,Black Beauty,Anna Sewell,32.70872152,-97.28192898,Mobile,School,0
202.77.129.161-10.42.0.211-80-45556-6,Female,21,Peter Pan,J.M. Barrie,39.79061383,-74.20196613,Mobile,University,0
10.42.0.211-23.205.27.180-34039-80-6,Female,21,A Farewell to Arms,Ernest Hemingway,32.85978961,-96.86369771,Mobile,University,0
219.142.78.162-10.42.0.151-80-54615-6,Male,21,The House of the Seven Gables,Nathaniel Hawthorne,32.27298259,-95.27805703,Mobile,University,0
175.100.207.233-10.42.0.211-80-36369-6,Female,21,Lord of the Flies,William Golding,35.14517326,-106.5882401,Mobile,University,0
10.42.0.211-115.236.16.203-34329-443-6,Male,21,The Prince and the Pauper,Mark Twain,36.04137138,-106.0590145,Mobile,University,1
10.42.0.42-87.240.165.91-58739-443-6,Female,17,A Portrait of the Artist as a Young Man,James Joyce,30.17929194,-97.77988832,Mobile,School,1
10.42.0.42-52.84.26.207-55239-80-6,Male,19,Lord Jim,Joseph Conrad,29.71015087,-95.47702061,Mobile,College,0
10.42.0.211-10.42.0.1-57966-53-17,Male,21,Harry Potter and the Chamber of Secrets,J.K. Rowling,31.21655075,-98.39323621,Mobile,University,0
182.22.25.124-10.42.0.211-443-37917-6,Male,19,The Red & the Black,Stendhal,29.63474365,-97.5784376,Computer,College,0
10.42.0.211-47.89.69.237-35895-443-6,Male,21,The Stranger,Albert Camus,29.68679127,-95.6462536,Mobile,University,1
10.42.0.211-106.39.162.36-44215-80-6,Male,21,The Trial,Franz Kafka,29.68644235,-95.64628267,Mobile,University,1
172.217.3.36-10.42.0.151-443-37155-6,Female,21,Lady Chatterley's Lover,D.H. Lawrence,29.66845471,-95.25961137,Mobile,University,1
10.42.0.42-106.11.93.16-35837-443-6,Female,17,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,32.4655913,-96.83408371,Mobile,School,1
10.42.0.211-10.42.0.1-20638-53-17,Female,17,The Catcher in the Rye,J.D. Salinger,29.82348372,-95.54627635,Mobile,School,1
172.217.11.10-10.42.0.211-443-38940-6,Female,21,Fahrenheit 451,Ray Bradbury,30.6149024,-97.68068931,Mobile,University,0
182.254.5.234-10.42.0.211-80-34004-6,Female,21,A Journey to the Center of the Earth,Jules Verne,29.70441674,-95.40575327,Mobile,University,1
208.80.154.224-10.42.0.211-443-48800-6,Male,21,Vanity Fair,William Makepeace Thackeray,32.70388894,-96.82795797,Mobile,University,0
10.42.0.42-61.135.185.139-53282-80-6,Female,21,All Quiet on the Western Front,Erich Maria Remarque,33.04004855,-97.05089046,Computer,University,0
208.80.154.224-10.42.0.211-443-47825-6,Female,19,Gone with the Wind,Margaret Mitchell,33.13846302,-97.04929766,Computer,College,0
203.205.147.229-10.42.0.211-80-42837-6,Male,17,My ?ntonia,Willa Cather,29.37410135,-95.0000057,Mobile,School,1
172.217.10.34-10.42.0.211-443-57245-6,Male,21,Of Mice and Men,John Steinbeck,30.44290117,-97.61134426,Mobile,University,0
131.253.61.64-10.42.0.211-443-42869-6,Male,19,The Vicar of Wakefield,Oliver Goldsmith,31.72821659,-106.3142486,Computer,College,1
10.42.0.211-104.193.88.109-35018-80-6,Male,21,A Connecticut Yankee in King Arthur's Court,Mark Twain,30.36090364,-97.68778378,Mobile,University,0
172.217.6.195-10.42.0.211-443-56715-6,Female,21,White Fang,Jack London,29.4145613,-98.44428306,Mobile,University,1
182.22.120.252-10.42.0.151-443-43856-6,Female,21,Fathers and Sons,Ivan Sergeevich Turgenev,29.41494387,-98.44437062,Mobile,University,0
10.42.0.211-123.125.115.164-43487-443-6,Female,17,Doctor Zhivago,Boris Leonidovich Pasternak,30.328941,-97.70753288,Mobile,School,1
172.217.9.238-10.42.0.211-443-39218-6,Male,17,The Decameron,Giovanni Boccaccio,32.72807266,-96.81258397,Mobile,School,1
172.217.10.14-10.42.0.42-443-58558-6,Male,17,Nineteen Eighty-Four,George Orwell,26.23663524,-98.32941814,Computer,School,0
203.205.158.62-10.42.0.211-80-34145-6,Male,19,The Jungle,Upton Sinclair,29.84826304,-95.64426649,Mobile,College,1
175.100.207.233-10.42.0.211-80-51407-6,Male,17,The Da Vinci Code,Dan Brown,33.01141928,-96.91295996,Mobile,School,0
10.42.0.42-76.13.28.70-51472-443-6,Male,21,Persuasion,Jane Austen,32.60623484,-96.9673845,Mobile,University,0
10.42.0.151-104.69.158.16-43939-443-6,Male,21,Mansfield Park,Jane Austen,29.79981445,-95.11379933,Computer,University,1
180.163.255.159-10.42.0.42-443-51719-6,Male,21,Candide,Voltaire,32.68588703,-97.04274086,Mobile,University,1
183.79.215.139-10.42.0.211-443-33389-6,Female,17,For Whom the Bell Tolls,Ernest Hemingway,32.87091945,-96.99123887,Computer,School,0
10.42.0.211-104.193.88.109-41653-80-6,Male,17,Far from the Madding Crowd,Thomas Hardy,40.80129821,-124.1498414,Tab,School,1
216.58.219.227-10.42.0.151-443-39955-6,Male,21,The Fellowship of the Ring,J.R.R. Tolkien,29.70078782,-95.65734828,Mobile,University,0
172.217.10.14-10.42.0.151-443-50622-6,Male,21,The Return of the Native,Thomas Hardy,32.82544007,-97.23976286,Mobile,University,1
172.217.11.42-10.42.0.151-443-44676-6,Male,17,Sons and Lovers,D.H. Lawrence,32.68533734,-97.10152794,Mobile,School,0
10.42.0.211-10.42.0.1-1936-53-17,Male,21,Charlotte's Web,E.B. White,42.97960203,-71.44921628,Mobile,University,1
10.42.0.211-64.71.142.124-43037-443-6,Female,21,The Swiss Family Robinson,Johann David Wyss,32.76421344,-97.10799455,Mobile,University,0
216.58.219.194-10.42.0.151-443-33116-6,Female,21,Bleak House,Charles Dickens,42.9954624,-71.47640518,Mobile,University,0
10.42.0.151-10.42.0.1-17890-53-17,Male,21,PŠre Goriot,Honor‚ de Balzac,30.07390457,-94.18634524,Computer,University,0
172.217.10.138-10.42.0.211-443-46898-6,Male,21,Utopia,Thomas More,40.42542774,-74.75808737,Computer,University,0
172.217.12.138-10.42.0.151-443-46194-6,Female,17,"The History of Tom Jones, a Foundling",Henry Fielding,32.53467743,-97.34577143,Computer,School,0
10.42.0.211-66.102.255.40-44175-80-6,Male,19,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,33.55783113,-96.90646954,Mobile,College,1
172.217.6.226-10.42.0.211-443-51230-6,Male,21,Kim,Rudyard Kipling,31.64189271,-97.09938415,Mobile,University,1
10.42.0.151-123.125.115.164-46059-443-6,Female,19,The Sound and the Fury,William Faulkner,33.21536601,-96.62697447,Computer,College,0
172.217.10.110-10.42.0.42-443-57515-6,Female,21,Harry Potter and the Goblet of Fire,J.K. Rowling,27.68898064,-97.41463967,Mobile,University,0
10.42.0.151-95.213.11.181-33809-80-6,Male,17,The Mill on the Floss,George Eliot,29.49367213,-95.46236176,Mobile,School,0
180.163.255.159-10.42.0.42-443-50712-6,Male,17,A Wrinkle in Time,Madeleine L'Engle,33.14376662,-117.0349696,Mobile,School,1
10.42.0.211-10.42.0.1-42914-53-17,Male,21,The Hound of the Baskervilles,Arthur Conan Doyle,40.35813765,-122.3319732,Computer,University,1
172.217.10.106-10.42.0.151-443-48577-6,Female,19,The Two Towers,J.R.R. Tolkien,33.37991258,-117.2548035,Mobile,College,1
151.101.45.140-10.42.0.211-443-48539-6,Male,21,The War of the Worlds,H.G. Wells,32.8174228,-116.9807566,Mobile,University,1
173.194.204.188-10.42.0.211-5228-55354-6,Female,21,Middlemarch,George Eliot,33.73165296,-116.9577919,Mobile,University,1
140.205.94.6-10.42.0.211-443-53616-6,Female,17,The Age of Innocence,Edith Wharton,33.84102524,-118.0377157,Mobile,School,0
10.42.0.211-117.121.27.13-42566-80-6,Male,17,The Color Purple,Alice Walker,38.65386225,-121.0601858,Computer,School,1
172.217.8.3-10.42.0.211-80-33195-6,Male,21,Northanger Abbey,Jane Austen,34.17847349,-118.3046328,Mobile,University,0
180.149.136.194-10.42.0.211-443-35865-6,Female,17,East of Eden,John Steinbeck,38.93344882,-122.6165908,Mobile,School,0
156.154.202.36-10.42.0.151-443-41645-6,Female,17,On the Road,Jack Kerouac,38.00254933,-121.3312296,Mobile,School,0
10.42.0.1-10.42.0.42-53-34364-17,Female,21,Catch-22,Joseph Heller,34.34898749,-119.0669647,Mobile,University,1
172.217.10.230-10.42.0.211-443-59275-6,Male,21,Around the World in Eighty Days,Jules Verne,33.03146921,-117.2739087,Mobile,University,0
203.205.158.63-10.42.0.211-80-46375-6,Female,17,Hard Times,Charles Dickens,39.88469678,-121.6668766,Computer,School,1
173.241.242.143-10.42.0.151-443-52167-6,Female,21,Beloved,Toni Morrison,33.82515145,-118.0966622,Mobile,University,0
10.42.0.211-10.42.0.1-63171-53-17,Male,21,Mrs. Dalloway,Virginia Woolf,34.03949253,-118.1808749,Mobile,University,1
174.35.73.149-10.42.0.211-80-54859-6,Male,21,To the Lighthouse,Virginia Woolf,34.01215813,-118.3093145,Mobile,University,0
172.217.8.3-10.42.0.211-443-49569-6,Male,17,The Magician's Nephew,C.S. Lewis,33.99615626,-118.2779649,Mobile,School,1
172.217.3.110-10.42.0.151-443-59847-6,Male,21,Harry Potter and the Order of the Phoenix,J.K. Rowling,33.95360513,-118.2561659,Mobile,University,1
172.217.10.34-10.42.0.211-443-42964-6,Male,21,The Sun Also Rises,Ernest Hemingway,34.07014754,-118.1997889,Mobile,University,0
239.255.255.250-10.42.0.1-1900-37494-17,Male,21,The Good Earth,Pearl S. Buck,34.23145586,-118.3662221,Mobile,University,1
172.217.11.3-10.42.0.151-443-47221-6,Female,17,Silas Marner,George Eliot,36.36984642,-105.5935921,Mobile,School,0
10.42.0.151-10.42.0.1-60032-53-17,Male,21,Love in the Time of Cholera,Gabriel Garc¡a M rquez,34.01512219,-118.3225913,Mobile,University,0
10.42.0.211-31.13.80.52-60843-443-6,Male,19,Rebecca,Daphne Du Maurier,34.28771299,-118.4385289,Computer,College,1
10.42.0.211-54.192.37.187-49025-80-6,Male,17,Jude the Obscure,Thomas Hardy,39.28016064,-122.1931845,Computer,School,1
182.22.25.124-10.42.0.151-443-56821-6,Male,19,Twilight,Stephenie Meyer,37.327286,-120.4841097,Mobile,College,0
202.77.129.150-10.42.0.42-443-59375-6,Female,21,A Passage to India,E.M. Forster,34.27117968,-118.4054379,Mobile,University,1
10.42.0.211-87.240.165.80-45641-80-6,Male,21,The Plague,Albert Camus,32.63528753,-96.84111661,Mobile,University,0
10.42.0.211-23.23.129.231-56234-443-6,Male,21,Nicholas Nickleby,Charles Dickens,32.75082044,-96.80582042,Mobile,University,1
182.22.24.252-10.42.0.42-80-44312-6,Male,17,The Pearl,John Steinbeck,32.81527262,-96.85225572,Mobile,School,0
10.42.0.211-10.42.0.1-59100-53-17,Male,21,Ethan Frome,Edith Wharton,33.21435056,-96.9293086,Mobile,University,1
10.42.0.211-23.194.141.143-59112-443-6,Male,19,The Tale of Genji,Murasaki Shikibu,36.05835726,-79.51790469,Mobile,College,0
208.80.154.224-10.42.0.211-443-47890-6,Male,17,The Giver,Lois Lowry,35.81516094,-79.10991764,Computer,School,0
10.42.0.211-52.76.136.219-34988-80-6,Male,21,The Alchemist,Paulo Coelho,32.81045237,-96.68598664,Computer,University,0
10.42.0.211-123.125.115.164-46939-443-6,Male,17,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,29.44102642,-95.10945601,Mobile,School,0
172.217.10.42-10.42.0.42-443-34097-6,Female,17,Robinson Crusoe,Daniel Defoe,29.4401516,-95.10953235,Computer,School,0
10.42.0.151-52.88.110.117-34209-443-6,Female,21,Tender is the Night,F. Scott Fitzgerald,26.16189201,-98.05808959,Mobile,University,1
157.240.18.15-10.42.0.211-443-56466-6,Female,19,The Idiot,Fyodor Dostoyevsky,35.88756579,-101.9641341,Computer,College,1
10.42.0.211-106.11.94.27-39160-443-6,Female,21,Hatchet,Gary Paulsen,32.85562988,-97.41914268,Mobile,University,0
10.42.0.211-104.193.88.109-35298-80-6,Female,17,The Kite Runner,Khaled Hosseini,31.91466455,-102.3795184,Mobile,School,0
10.42.0.42-115.239.210.141-52033-80-6,Female,19,One Flew Over the Cuckoo's Nest,Ken Kesey,35.5417254,-82.6313922,Mobile,College,0
10.42.0.211-88.212.196.104-37051-443-6,Female,19,The Portrait of a Lady,Henry James,32.74969684,-97.31442561,Mobile,College,1
10.42.0.211-77.234.44.199-47955-80-6,Male,17,The Outsiders,S.E. Hinton,33.13746053,-96.85923305,Mobile,School,1
172.217.10.10-10.42.0.42-443-60959-6,Male,21,Ben-Hur,Lew Wallace,36.33173551,-76.18276225,Mobile,University,1
10.42.0.1-10.42.0.42-53-40904-17,Female,21,The Mayor of Casterbridge,Thomas Hardy,33.87914304,-117.5776301,Mobile,University,1
203.205.158.63-10.42.0.211-80-38565-6,Male,21,"Cry, The Beloved Country",Alan Paton,35.16051348,-83.38148767,Mobile,University,1
10.42.0.151-31.13.80.5-38931-443-6,Male,17,The Last Battle,C.S. Lewis,29.6850758,-95.70876182,Mobile,School,0
10.42.0.211-23.219.23.167-53385-80-6,Male,21,Captains Courageous,Rudyard Kipling,41.63808911,-83.68709577,Mobile,University,1
182.22.24.252-10.42.0.151-443-38587-6,Male,17,The Castle,Franz Kafka,39.22196378,-81.79480605,Computer,School,0
157.240.18.19-10.42.0.211-443-52381-6,Female,19,The Metamorphosis,Franz Kafka,33.21018724,-96.89599028,Mobile,College,0
172.217.12.132-10.42.0.211-443-33360-6,Male,21,The Magic Mountain (Der Zauberberg),Thomas Mann,32.9438292,-96.61303566,Mobile,University,0
205.204.101.182-10.42.0.211-443-60121-6,Female,21,James and the Giant Peach,Roald Dahl,29.15299175,-98.15673549,Computer,University,1
10.42.0.151-66.231.239.124-37683-80-6,Female,19,The Horse and His Boy,C.S. Lewis,32.74152369,-96.99857446,Mobile,College,0
174.35.73.110-10.42.0.211-80-34158-6,Male,17,Angels & Demons,Dan Brown,29.73655031,-95.37697924,Computer,School,1
10.42.0.151-69.147.82.60-41186-443-6,Male,21,The Voyage of the Dawn Treader,C.S. Lewis,29.73442601,-95.33389632,Mobile,University,0
172.217.10.131-10.42.0.151-443-56465-6,Male,21,The Bell Jar,Sylvia Plath,47.97486483,-99.02497624,Mobile,University,1
172.217.12.202-10.42.0.211-443-54414-6,Female,21,Women in Love,D.H. Lawrence,40.65193637,-81.45229829,Mobile,University,0
10.42.0.211-64.71.142.95-38449-443-6,Female,19,The Yearling,Marjorie Kinnan Rawlings,29.98216761,-95.24771675,Mobile,College,1
202.77.129.150-10.42.0.211-80-53575-6,Female,19,O Pioneers!,Willa Cather,30.00798962,-95.26298632,Computer,College,1
10.42.0.1-10.42.0.42-53-46278-17,Female,19,The Handmaid's Tale,Margaret Atwood,30.00799937,-95.26293194,Mobile,College,0
10.42.0.211-66.102.255.61-58362-80-6,Male,21,The Moonstone,Wilkie Collins,30.27805154,-98.40824741,Mobile,University,1
10.42.0.151-104.193.88.109-40161-80-6,Male,19,The Old Curiosity Shop,Charles Dickens,34.21308072,-118.5062369,Computer,College,0
10.42.0.151-52.84.134.181-54917-443-6,Male,19,Little Dorrit,Charles Dickens,34.02604969,-118.1933055,Mobile,College,0
10.42.0.151-14.17.42.57-33208-80-6,Male,17,Prince Caspian: The Return to Narnia,C.S. Lewis,33.92512236,-118.4040795,Mobile,School,1
208.80.154.224-10.42.0.211-443-33429-6,Female,21,Sister Carrie,Theodore Dreiser,36.31321377,-121.246954,Mobile,University,1
151.101.1.140-10.42.0.151-443-40609-6,Female,19,The Silver Chair,C.S. Lewis,33.9252735,-118.1008244,Mobile,College,0
10.42.0.211-103.7.30.118-57942-80-6,Male,17,The Hunger Games,Suzanne Collins,29.73931449,-95.82632212,Mobile,School,1
206.126.112.142-10.42.0.151-443-54566-6,Female,17,This Side of Paradise,F. Scott Fitzgerald,31.11919773,-97.80890629,Tab,School,0
10.42.0.211-10.42.0.1-21705-53-17,Male,21,Eug‚nie Grandet,Honor‚ de Balzac,26.23797097,-98.35192569,Mobile,University,1
10.42.0.211-123.125.46.112-52984-80-6,Female,19,Of Human Bondage,W. Somerset Maugham,29.65511606,-95.01368143,Mobile,College,0
10.42.0.42-52.84.1.250-35827-443-6,Female,17,Dream of the Red Chamber,Cao Xueqin,33.03487865,-96.87321629,Mobile,School,1
10.42.0.211-10.42.0.1-37033-53-17,Female,17,Life of Pi,Yann Martel,33.97232461,-78.19899323,Mobile,School,0
172.217.10.237-10.42.0.42-443-59846-6,Female,19,Harry Potter and the Deathly Hallows,J.K. Rowling,40.80768938,-73.91282271,Mobile,College,0
10.42.0.211-77.234.44.79-34122-443-6,Male,21,Invisible Man,Ralph Ellison,35.48660835,-80.99791627,Mobile,University,0
10.42.0.211-66.198.24.243-49085-80-6,Male,21,Steppenwolf,Hermann Hesse,31.07561745,-97.78542531,Mobile,University,0
10.42.0.211-66.198.24.243-48099-80-6,Male,21,The Sorrows of Young Werther,Johann Wolfgang von Goethe,32.88671336,-97.30146363,Mobile,University,0
10.42.0.211-10.42.0.1-30970-53-17,Male,21,Bridge to Terabithia,Katherine Paterson,30.00117724,-97.61779528,Mobile,University,1
222.73.28.96-10.42.0.42-80-56096-6,Male,19,The Invisible Man,H.G. Wells,30.33133074,-97.55903543,Mobile,College,1
10.42.0.211-10.42.0.1-47044-53-17,Female,17,Holes,Louis Sachar,31.31340004,-96.87965368,Mobile,School,0
220.181.7.190-10.42.0.211-443-36553-6,Male,17,Siddhartha,Hermann Hesse,32.41451358,-95.79100162,Mobile,School,0
10.42.0.151-10.42.0.1-46041-53-17,Male,21,A Tree Grows in Brooklyn,Betty Smith,30.28341765,-97.2395953,Mobile,University,0
172.217.19.195-10.42.0.151-443-52855-6,Female,21,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,33.196656,-96.69575283,Mobile,University,1
10.42.0.211-52.84.29.55-45129-443-6,Male,21,In Cold Blood,Truman Capote,30.91312717,-99.79021366,Mobile,University,1
172.217.11.35-10.42.0.151-443-48860-6,Male,21,The House of the Spirits,Isabel Allende,31.60545361,-100.1863501,Mobile,University,1
10.42.0.1-10.42.0.42-53-19781-17,Female,21,Adam Bede,George Eliot,33.16371108,-94.99536778,Computer,University,1
10.42.0.211-36.51.254.232-56570-443-6,Male,19,The Betrothed,Alessandro Manzoni,30.32736138,-95.66179884,Mobile,College,1
216.58.212.131-10.42.0.42-443-59811-6,Male,17,The Book Thief,Markus Zusak,30.34879941,-95.66537835,Mobile,School,0
180.163.255.159-10.42.0.151-443-54087-6,Female,21,Their Eyes Were Watching God,Zora Neale Hurston,30.39243133,-96.08474034,Mobile,University,1
10.42.0.151-106.39.169.66-52302-80-6,Male,19,One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn,29.53847915,-98.41999578,Mobile,College,0
180.149.136.247-10.42.0.42-80-45852-6,Female,21,The Sea Wolf,Jack London,29.63788465,-95.17957399,Mobile,University,0
10.42.0.211-106.11.92.16-36113-443-6,Male,17,Catching Fire,Suzanne Collins,32.99505398,-96.80477393,Mobile,School,0
10.42.0.42-47.89.69.218-56730-443-6,Male,17,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,26.09715727,-97.95774742,Computer,School,1
10.42.0.211-121.12.98.64-40866-80-6,Female,21,Death Comes for the Archbishop,Willa Cather,31.22735687,-101.9440125,Mobile,University,0
10.42.0.151-10.42.0.1-41916-53-17,Female,17,The House of Mirth,Edith Wharton,33.01850757,-96.74602699,Mobile,School,1
216.58.219.234-10.42.0.151-443-40262-6,Female,17,Light in August,William Faulkner,43.3300877,-119.2791111,Mobile,School,0
173.194.204.188-10.42.0.151-5228-60764-6,Female,17,The Pickwick Papers,Charles Dickens,45.55946127,-116.8351808,Mobile,School,1
